time,seconds_elapsed,z,y,x
1772533283441006600,0.201006591796875,0,0,0
1772533283450922800,0.2109228515625,0.26254749298095703,-0.13292181491851807,-0.17344343662261963
1772533283460852000,0.22085205078125,0.4781160354614258,-0.22845733165740967,-0.4729200005531311
1772533283470784300,0.2307841796875,0.3343181610107422,-0.37346887588500977,-0.23662585020065308
1772533283480732700,0.240732666015625,-0.38944244384765625,-0.5893139839172363,0.014374196529388428
1772533283490671400,0.25067138671875,-0.8930816650390625,0.1607574224472046,0.1458999216556549
1772533283500599600,0.260599609375,-1.240823745727539,0.5147897005081177,0.03481745719909668
1772533283510534100,0.2705341796875,-1.5981602668762207,0.12932813167572021,0.08312413096427917
1772533283520463000,0.280463134765625,-1.5136675834655762,-0.16851282119750977,-0.0023523569107055664
1772533283530395600,0.290395751953125,-1.100329875946045,-0.23470449447631836,-0.21376818418502808
1772533283540326700,0.30032666015625,-1.2461028099060059,-0.41522979736328125,-0.1767370104789734
1772533283550258400,0.310258544921875,-0.7604312896728516,-0.43004679679870605,-0.2379048466682434
1772533283560192000,0.32019189453125,0.033600807189941406,-0.3910799026489258,-0.1302432417869568
1772533283570124800,0.330124755859375,0.2870292663574219,-0.36082303524017334,0.22472375631332397
1772533283580056600,0.340056640625,0.015587806701660156,-0.5017918348312378,0.44607073068618774
1772533283589988900,0.34998876953125,-0.4815645217895508,-0.8482254147529602,0.8186867237091064
1772533283599925500,0.359925537109375,-0.8293156623840332,-0.9286306500434875,0.8722550868988037
1772533283609859800,0.36985986328125,-0.8617720603942871,-1.2097761631011963,0.556268572807312
1772533283619784000,0.379783935546875,-1.0203642845153809,-2.1490085124969482,0.5001698136329651
1772533283629714000,0.3897138671875,-0.9482846260070801,-2.8578693866729736,-0.13803637027740479
1772533283639590100,0.399590087890625,-0.3089618682861328,-2.695465564727783,-0.2852436900138855
1772533283649498600,0.40949853515625,-0.1948556900024414,-1.2485201358795166,-0.14341872930526733
1772533283659513900,0.419513916015625,-1.2086992263793945,1.4983638525009155,0.11277192831039429
1772533283669465600,0.429465576171875,-1.8812751770019531,1.3881946802139282,0.3241942524909973
1772533283679376100,0.439376220703125,-2.466888904571533,-0.5828684568405151,0.3114802837371826
1772533283689311000,0.44931103515625,-3.6553759574890137,-0.36288559436798096,0.17075663805007935
1772533283699219700,0.4592197265625,-2.986447811126709,0.2476738691329956,-0.30136004090309143
1772533283709144300,0.469144287109375,-1.4962544441223145,0.15358805656433105,-1.765986680984497
1772533283719088000,0.479088134765625,0.43868398666381836,1.4362730979919434,-2.394523859024048
1772533283729020700,0.489020751953125,1.4190988540649414,3.1661088466644287,-1.8871628046035767
1772533283738957600,0.49895751953125,2.53126859664917,2.7608346939086914,-1.5768861770629883
1772533283748892000,0.508891845703125,4.936262130737305,1.8523297309875488,-1.6024129390716553
1772533283758830300,0.518830322265625,9.272268295288086,2.4144790172576904,-0.9644193649291992
1772533283768766200,0.52876611328125,13.222909927368164,3.708014488220215,0.6149450540542603
1772533283778688800,0.538688720703125,15.506133079528809,4.15996789932251,2.1204288005828857
1772533283788623400,0.548623291015625,16.39068031311035,4.00797176361084,3.6619925498962402
1772533283798555100,0.55855517578125,15.862483024597168,3.0797505378723145,4.744262218475342
1772533283808489500,0.568489501953125,14.390206336975098,1.680440902709961,3.887821674346924
1772533283818417000,0.5784169921875,13.854318618774414,0.8319807052612305,1.704887866973877
1772533283828350700,0.588350830078125,13.842791557312012,0.3890199661254883,-0.3044753074645996
1772533283838312200,0.598312255859375,12.0426025390625,0.41518473625183105,-1.1327697038650513
1772533283848216300,0.60821630859375,8.585168838500977,1.7637858390808105,-0.18448008596897125
1772533283868098800,0.628098876953125,2.5842714309692383,3.372039794921875,1.2120829820632935
1772533283878036500,0.638036376953125,1.0546960830688477,2.9954347610473633,-0.09030872583389282
1772533283887958800,0.647958740234375,-0.19242382049560547,2.5152878761291504,-0.41814643144607544
1772533283897895000,0.65789501953125,-1.791163444519043,2.020925521850586,-0.06495058536529541
1772533283907826700,0.66782666015625,-3.9052653312683105,1.621964931488037,0.2519608736038208
1772533283917762300,0.67776220703125,-6.157288074493408,1.310910701751709,0.5682835578918457
1772533283927692800,0.68769287109375,-8.260268211364746,0.8620357513427734,1.0414652824401855
1772533283937628000,0.6976279296875,-9.240318298339844,0.13326740264892578,1.425692081451416
1772533283947554000,0.707553955078125,-7.868716239929199,-0.4702458381652832,1.4439482688903809
1772533283957488000,0.717488037109375,-6.695101737976074,-1.7757372856140137,0.18811893463134766
1772533283967410200,0.72741015625,-6.737787246704102,-3.6511363983154297,-2.2505197525024414
1772533283977343200,0.73734326171875,-6.673036575317383,-5.409106254577637,-4.441028118133545
1772533283987282400,0.747282470703125,-5.313220024108887,-6.573981285095215,-5.92309045791626
1772533283997216000,0.757216064453125,-4.109849452972412,-7.008602619171143,-6.8976216316223145
1772533284007128800,0.76712890625,-3.805152416229248,-6.710039138793945,-7.029360771179199
1772533284017060400,0.777060302734375,-3.893550395965576,-6.183768272399902,-5.943819046020508
1772533284026990300,0.786990234375,-4.575565814971924,-5.673907279968262,-4.697750568389893
1772533284036921900,0.796921875,-6.489757537841797,-4.936436653137207,-3.6761231422424316
1772533284046880300,0.80688037109375,-9.049810409545898,-3.833958864212036,-2.594233512878418
1772533284056814300,0.816814453125,-11.319353103637695,-2.8796956539154053,-1.8687164783477783
1772533284066745000,0.8267451171875,-12.590635299682617,-2.452322006225586,-1.308156967163086
1772533284076679000,0.836678955078125,-13.259047508239746,-2.606196880340576,-1.0658533573150635
1772533284086582300,0.846582275390625,-13.584668159484863,-3.0162854194641113,-0.5068995952606201
1772533284096512800,0.8565126953125,-12.883256912231445,-3.1707711219787598,0.4608945846557617
1772533284106469400,0.866469482421875,-11.413434982299805,-2.825531244277954,0.6589958667755127
1772533284116402700,0.876402587890625,-9.4954252243042,-1.906949520111084,-0.28257012367248535
1772533284126336800,0.886336669921875,-7.263009548187256,-0.8321207165718079,-2.0661494731903076
1772533284136270300,0.896270263671875,-4.125729084014893,0.20247125625610352,-4.15341854095459
1772533284146197000,0.906197021484375,-4.098653316497803,0.32696110010147095,-4.201183319091797
1772533284156129500,0.916129638671875,-4.65567684173584,0.29547470808029175,-3.8497982025146484
1772533284166061600,0.9260615234375,-4.729514122009277,0.3427417278289795,-4.061581611633301
1772533284175994000,0.935994140625,-3.350276470184326,0.785830557346344,-4.891278266906738
1772533284185930500,0.945930419921875,-0.7584347724914551,1.5279227495193481,-4.510226726531982
1772533284195863300,0.95586328125,1.8435993194580078,2.0362894535064697,-0.6319989562034607
1772533284205770800,0.965770751953125,2.3962974548339844,2.325716972351074,4.706814765930176
1772533284215701200,0.975701171875,1.6735925674438477,2.656708240509033,7.733349323272705
1772533284225669600,0.985669677734375,0.49479198455810547,2.321861505508423,7.50081205368042
1772533284235603700,0.995603759765625,-1.082655906677246,0.41833800077438354,4.416172504425049
1772533284245523000,1.00552294921875,-1.9881668090820312,-1.8184127807617188,0.586288332939148
1772533284255455500,1.01545556640625,-1.3447151184082031,-3.1727633476257324,-1.7942662239074707
1772533284265387500,1.025387451171875,-1.070730209350586,-3.5083510875701904,-2.13053822517395
1772533284275320300,1.0353203125,-2.384547233581543,-2.40944766998291,-0.4988975524902344
1772533284285252000,1.045252197265625,-3.8408761024475098,-0.435626357793808,1.5546983480453491
1772533284295184600,1.0551845703125,-4.7753143310546875,1.2807068824768066,3.3338584899902344
1772533284305115000,1.065114990234375,-4.084436893463135,2.7466812133789062,4.399830341339111
1772533284315047400,1.07504736328125,-0.40696096420288086,4.262508392333984,4.072678565979004
1772533284324980700,1.084980712890625,5.003454208374023,5.503643035888672,3.086125373840332
1772533284334913000,1.0949130859375,9.600273132324219,6.334294319152832,2.076254367828369
1772533284344841700,1.104841796875,14.124650955200195,7.480330467224121,0.6670824289321899
1772533284354773800,1.114773681640625,18.63006591796875,6.853219032287598,-0.22492647171020508
1772533284364704500,1.12470458984375,22.542030334472656,3.514472484588623,0.16991305351257324
1772533284374636300,1.13463623046875,25.335693359375,1.0938993692398071,0.4670679569244385
1772533284384582700,1.144582763671875,25.965404510498047,0.6866143941879272,0.3925459384918213
1772533284394516000,1.154515869140625,24.123275756835938,1.422974944114685,-0.12622922658920288
1772533284404448500,1.164448486328125,21.355138778686523,2.0093092918395996,-1.9187933206558228
1772533284414381600,1.174381591796875,18.48452377319336,1.8999285697937012,-4.46604585647583
1772533284424313600,1.184313720703125,15.437823295593262,1.4646706581115723,-6.539850234985352
1772533284434246700,1.19424658203125,12.40831184387207,1.2639696598052979,-8.023025512695312
1772533284444165400,1.204165283203125,9.23118782043457,1.1053276062011719,-8.133932113647461
1772533284454097000,1.214096923828125,5.9839630126953125,0.7530081272125244,-7.043338298797607
1772533284464066600,1.224066650390625,3.141294479370117,0.7074196338653564,-3.513226270675659
1772533284474002200,1.234002197265625,0.8745079040527344,1.453812837600708,0.8155868649482727
1772533284483894500,1.24389453125,-0.4917488098144531,1.669262409210205,3.3550682067871094
1772533284493825800,1.25382568359375,-1.253866195678711,0.6640387773513794,4.075861930847168
1772533284503756500,1.263756591796875,-2.6617422103881836,-0.7671665549278259,3.6836729049682617
1772533284513687600,1.2736875,-4.805690765380859,-2.0874953269958496,2.306786060333252
1772533284523646700,1.283646728515625,-7.016098976135254,-2.670243740081787,0.9909764528274536
1772533284533580800,1.293580810546875,-6.958616256713867,-2.867159843444824,0.03624602407217026
1772533284543493600,1.30349365234375,-4.386746406555176,-3.640620231628418,-0.8051576614379883
1772533284553425400,1.31342529296875,-3.026671886444092,-4.3923659324646,-1.3210225105285645
1772533284563363300,1.32336328125,-4.595193862915039,-4.466307163238525,-1.8762879371643066
1772533284573295600,1.333295654296875,-7.609461784362793,-4.101900577545166,-2.1283726692199707
