time,seconds_elapsed,z,y,x
1772534465406087400,0.04708740234375,-0.9385986328125,-0.1370697021484375,-0.0313873291015625
1772534465416104400,0.0571044921875,-0.9512176513671875,-0.1290130615234375,-0.0242919921875
1772534465426120400,0.067120361328125,-0.956939697265625,-0.12860107421875,-0.00836181640625
1772534465436137500,0.077137451171875,-0.9671173095703125,-0.1265869140625,0.0086822509765625
1772534465446153500,0.087153564453125,-0.977935791015625,-0.1249542236328125,0.0173492431640625
1772534465456170500,0.09717041015625,-0.9753570556640625,-0.122222900390625,0.0139617919921875
1772534465466186500,0.1071865234375,-0.959320068359375,-0.1183013916015625,0.011749267578125
1772534465476203500,0.11720361328125,-0.9600372314453125,-0.1253814697265625,0.015777587890625
1772534465486219500,0.127219482421875,-0.969879150390625,-0.13421630859375,0.020477294921875
1772534465496236500,0.137236572265625,-0.97430419921875,-0.14337158203125,0.01751708984375
1772534465506252500,0.14725244140625,-0.9859771728515625,-0.1556854248046875,0.0045623779296875
1772534465516268500,0.1572685546875,-0.9871978759765625,-0.1589813232421875,-0.0020599365234375
1772534465526285800,0.167285888671875,-0.9739990234375,-0.159210205078125,-0.0045928955078125
1772534465536301800,0.1773017578125,-0.94989013671875,-0.1734466552734375,-0.0009765625
1772534465546319000,0.187319091796875,-0.9251708984375,-0.1934661865234375,0.0025787353515625
1772534465556334800,0.1973349609375,-0.8995819091796875,-0.2014312744140625,0.0016937255859375
1772534465566352000,0.207351806640625,-0.8674774169921875,-0.1862030029296875,-0.0039520263671875
1772534465576367900,0.217367919921875,-0.860626220703125,-0.17340087890625,-0.0204925537109375
1772534465586385000,0.227385009765625,-0.8639984130859375,-0.185943603515625,-0.0181732177734375
1772534465596401000,0.23740087890625,-0.8734893798828125,-0.1876220703125,-0.010284423828125
1772534465606418000,0.24741796875,-0.8961181640625,-0.211334228515625,-0.02178955078125
1772534465616434000,0.257433837890625,-0.9327850341796875,-0.269073486328125,-0.02838134765625
1772534465626450000,0.267449951171875,-0.954833984375,-0.2983551025390625,-0.0225372314453125
1772534465636467000,0.277467041015625,-0.97113037109375,-0.3050994873046875,-0.0247039794921875
1772534465646483000,0.28748291015625,-0.9848175048828125,-0.2923126220703125,-0.039306640625
1772534465656500000,0.2975,-1.0026397705078125,-0.28326416015625,-0.0615234375
1772534465666515700,0.307515625,-1.0158233642578125,-0.27520751953125,-0.073486328125
1772534465676533000,0.317532958984375,-1.0395965576171875,-0.2675933837890625,-0.086151123046875
1772534465686549000,0.327549072265625,-1.0520172119140625,-0.276702880859375,-0.1002197265625
1772534465696565800,0.337565673828125,-1.046905517578125,-0.28900146484375,-0.10906982421875
1772534465706581800,0.347581787109375,-1.0203094482421875,-0.296295166015625,-0.1221923828125
1772534465716599000,0.35759912109375,-0.9776611328125,-0.2968902587890625,-0.137176513671875
1772534465726615000,0.367614990234375,-0.943450927734375,-0.288970947265625,-0.1439971923828125
1772534465736631000,0.377631103515625,-0.918609619140625,-0.2787322998046875,-0.136138916015625
1772534465746647800,0.387647705078125,-0.907440185546875,-0.266754150390625,-0.127044677734375
1772534465756663800,0.397663818359375,-0.904022216796875,-0.261199951171875,-0.1184844970703125
1772534465766680800,0.407680908203125,-0.9058837890625,-0.25634765625,-0.1295623779296875
1772534465776696800,0.41769677734375,-0.91375732421875,-0.2509307861328125,-0.1416778564453125
1772534465786713900,0.4277138671875,-0.9341583251953125,-0.2478485107421875,-0.1544342041015625
1772534465796729900,0.437729736328125,-0.9752960205078125,-0.2364349365234375,-0.1806640625
1772534465806747000,0.447746826171875,-1.0033721923828125,-0.2136077880859375,-0.21453857421875
1772534465816763000,0.457762939453125,-1.013671875,-0.1846923828125,-0.2362213134765625
1772534465826779000,0.46777880859375,-1.024322509765625,-0.1664276123046875,-0.257293701171875
1772534465836796000,0.4777958984375,-1.0330657958984375,-0.161895751953125,-0.2753448486328125
1772534465846812000,0.48781201171875,-1.0361785888671875,-0.168609619140625,-0.287628173828125
1772534465856829000,0.497828857421875,-1.0387725830078125,-0.1761016845703125,-0.2974090576171875
1772534465866845000,0.507844970703125,-1.03680419921875,-0.1823272705078125,-0.300506591796875
1772534465876861700,0.51786181640625,-1.0184783935546875,-0.18359375,-0.2799530029296875
1772534465886878000,0.5278779296875,-1.0122222900390625,-0.1849822998046875,-0.2422943115234375
1772534465896895000,0.53789501953125,-1.0041351318359375,-0.1747589111328125,-0.2144317626953125
1772534465906911000,0.547910888671875,-0.983367919921875,-0.153472900390625,-0.200347900390625
1772534465916927700,0.557927734375,-0.9672088623046875,-0.1281280517578125,-0.179412841796875
1772534465926944000,0.567944091796875,-0.9622039794921875,-0.1117401123046875,-0.158905029296875
1772534465936960000,0.5779599609375,-0.97332763671875,-0.1108245849609375,-0.1555023193359375
1772534465946977000,0.58797705078125,-1.0023651123046875,-0.1234283447265625,-0.182098388671875
1772534465956992800,0.59799267578125,-1.0198822021484375,-0.126495361328125,-0.2304534912109375
1772534465967010000,0.608010009765625,-1.0273590087890625,-0.118316650390625,-0.2692413330078125
1772534465977026000,0.618026123046875,-1.0367584228515625,-0.1134490966796875,-0.2896881103515625
1772534465987042800,0.628042724609375,-1.0489044189453125,-0.10302734375,-0.3076324462890625
1772534465997058800,0.638058837890625,-1.048828125,-0.095001220703125,-0.3177490234375
1772534466007076000,0.648076171875,-1.036529541015625,-0.120361328125,-0.29534912109375
1772534466017092000,0.658092041015625,-1.0453948974609375,-0.14471435546875,-0.2484283447265625
1772534466027108900,0.66810888671875,-1.0595550537109375,-0.1589813232421875,-0.2153472900390625
1772534466037124900,0.678124755859375,-1.0536956787109375,-0.1588134765625,-0.20513916015625
1772534466047140900,0.688140869140625,-1.037139892578125,-0.1653594970703125,-0.20849609375
1772534466057158000,0.698157958984375,-1.009765625,-0.1756591796875,-0.20953369140625
1772534466067174000,0.708173828125,-0.9868011474609375,-0.174896240234375,-0.2131195068359375
1772534466077191000,0.71819091796875,-0.9644775390625,-0.1750030517578125,-0.221099853515625
1772534466087207000,0.72820703125,-0.9397430419921875,-0.17926025390625,-0.2326202392578125
1772534466097224000,0.738223876953125,-0.930755615234375,-0.18084716796875,-0.2389984130859375
1772534466107240000,0.748239990234375,-0.9257965087890625,-0.169281005859375,-0.2485504150390625
1772534466117257000,0.758257080078125,-0.893341064453125,-0.1524505615234375,-0.2490692138671875
1772534466127273000,0.76827294921875,-0.864501953125,-0.145751953125,-0.2310791015625
1772534466137290000,0.7782900390625,-0.8510589599609375,-0.1600799560546875,-0.1872711181640625
1772534466147306000,0.788305908203125,-0.835113525390625,-0.1876373291015625,-0.1393585205078125
1772534466157322000,0.798322021484375,-0.808746337890625,-0.2090606689453125,-0.102020263671875
1772534466167338800,0.8083388671875,-0.7729644775390625,-0.2133941650390625,-0.072998046875
1772534466177354800,0.818354736328125,-0.7451629638671875,-0.2117156982421875,-0.0497283935546875
1772534466187372000,0.8283720703125,-0.7162933349609375,-0.24053955078125,-0.0413818359375
1772534466197388000,0.838387939453125,-0.7529296875,-0.2597503662109375,-0.07159423828125
1772534466207404800,0.84840478515625,-0.75238037109375,-0.247711181640625,-0.1094818115234375
1772534466217420800,0.8584208984375,-0.741058349609375,-0.2569580078125,-0.1251068115234375
